City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cairns,20,AU,1531508400,82,-16.92,145.77,62.6,10.29
1,ushuaia,75,AR,1531508400,69,-54.81,-68.31,39.2,26.4
2,bluff,0,AU,1531510034,69,-23.58,149.07,39.33,5.41
3,saint-philippe,40,CA,1531508400,37,45.36,-73.48,84.2,4.7
4,atuona,0,PF,1531510034,100,-9.8,-139.03,79.83,17.05
5,faanui,48,PF,1531510034,98,-16.48,-151.75,80.91,16.15
6,mataura,76,NZ,1531510034,78,-46.19,168.86,36.45,3.96
7,bilibino,92,RU,1531510034,66,68.06,166.44,56.43,4.41
8,pisco,0,PE,1531508400,77,-13.71,-76.2,68.0,11.41
9,yellowknife,75,CA,1531508400,93,62.45,-114.38,59.0,9.17
10,peniche,40,PT,1531508400,77,39.36,-9.38,69.8,6.93
11,figeac,0,FR,1531508400,53,44.61,2.03,78.8,3.36
12,itaituba,20,BR,1531508400,62,-4.26,-55.99,87.8,2.62
13,palmas bellas,40,PA,1531508400,74,9.23,-80.09,84.2,9.17
14,rikitea,92,PF,1531510035,100,-23.12,-134.97,71.55,16.15
15,merauke,92,ID,1531510036,95,-8.49,140.4,76.41,13.13
16,dingle,92,PH,1531510036,89,11.0,122.67,77.4,8.66
17,lebu,80,ET,1531510036,97,8.96,38.73,53.28,2.62
18,albany,40,US,1531508040,33,42.65,-73.75,87.8,4.7
19,the valley,40,AI,1531508400,66,18.22,-63.06,87.8,16.11
20,chumikan,92,RU,1531510037,98,54.72,135.31,49.5,5.08
21,gewane,100,ET,1531510037,51,10.16,40.66,85.86,2.62
22,pundaguitan,68,PH,1531510037,100,6.37,126.17,83.16,8.1
23,chauk,76,MM,1531510037,88,20.89,94.82,78.66,10.11
24,pevek,88,RU,1531510037,64,69.7,170.27,49.95,25.1
25,kavieng,80,PG,1531510037,100,-2.57,150.8,78.66,3.96
26,yakeshi,36,CN,1531510038,71,49.28,120.73,59.58,10.45
27,gambela,24,ET,1531510038,90,8.25,34.59,65.16,2.51
28,bom jesus,0,BR,1531509758,30,-9.08,-44.36,93.78,13.24
29,ust-tsilma,32,RU,1531510038,63,65.44,52.15,65.16,4.07
30,barrow,68,AR,1531510039,50,-38.31,-60.23,61.83,7.54
31,cape town,75,ZA,1531508400,93,-33.93,18.42,50.0,5.82
32,kruisfontein,8,ZA,1531510039,85,-34.0,24.73,58.23,16.82
33,camacha,20,PT,1531508400,64,33.08,-16.33,71.6,11.41
34,kucove,0,AL,1531510039,51,40.8,19.92,76.41,5.19
35,hasaki,75,JP,1531506600,100,35.73,140.83,77.0,3.36
36,ko samui,92,TH,1531509847,98,9.54,99.94,84.24,17.83
37,butaritari,88,KI,1531510040,100,3.07,172.79,78.66,9.66
38,kapaa,75,US,1531508160,78,22.08,-159.32,80.6,12.75
39,hofn,90,IS,1531508400,100,64.25,-15.21,51.8,10.29
40,iqaluit,40,CA,1531508400,71,63.75,-68.52,55.4,4.7
41,freeport,75,BS,1531508400,63,26.54,-78.7,91.4,8.05
42,churapcha,88,RU,1531510040,81,62.0,132.43,67.05,3.96
43,salalah,90,OM,1531507800,88,17.01,54.1,80.6,6.93
44,faya,5,SA,1531508400,64,18.39,42.45,73.4,6.93
45,bubaque,90,GW,1531508400,94,11.28,-15.83,77.0,5.82
46,lingao,24,CN,1531510041,100,19.91,109.69,76.95,5.97
47,rawlins,75,US,1531507980,17,41.79,-107.24,84.2,2.06
48,taoudenni,12,ML,1531510041,9,22.68,-3.98,110.25,3.06
49,contai,64,IN,1531510041,100,21.78,87.75,82.89,6.98
50,hermanus,92,ZA,1531510042,97,-34.42,19.24,48.06,4.97
51,hambantota,32,LK,1531510042,92,6.12,81.12,81.9,17.6
52,port alfred,88,ZA,1531510042,100,-33.59,26.89,55.44,10.67
53,hobart,75,AU,1531508400,93,-42.88,147.33,44.6,6.93
54,lagoa,0,PT,1531508400,77,37.14,-8.45,69.8,6.93
55,itarema,68,BR,1531510043,56,-2.92,-39.92,87.48,11.01
56,ahipara,24,NZ,1531510043,100,-35.17,173.16,53.73,13.8
57,udimskiy,20,RU,1531510043,66,61.14,45.92,68.94,4.63
58,punta arenas,0,CL,1531508400,64,-53.16,-70.91,37.4,9.17
59,jamestown,0,AU,1531510044,80,-33.21,138.6,27.27,4.97
60,inirida,36,CO,1531510044,79,3.87,-67.92,81.81,2.73
61,alyangula,0,AU,1531510044,100,-13.85,136.42,71.64,7.99
62,codrington,0,AU,1531510045,81,-28.95,153.24,34.38,2.51
63,bathsheba,75,BB,1531508400,70,13.22,-59.52,86.0,17.22
64,saldanha,0,PT,1531510045,32,41.42,-6.55,84.51,7.65
65,darhan,0,MN,1531510045,85,49.49,105.92,49.68,2.62
66,chara,20,GR,1531507800,65,39.42,22.43,78.8,3.36
